,HDPE spectra,
Raman shift [1/cm],Counts/sec,
2266.781,18.236159,
2265.816,19.751248,
2264.852,19.54807,
2263.888,19.399226,
2262.924,20.974161,
2261.959,22.824805,
2260.995,24.0784,
2260.031,25.206002,
2259.067,25.717958,
2258.103,25.631572,
2257.138,25.19227,
2256.174,24.409104,
2255.210,23.351536,
2254.246,22.031437,
2253.281,20.163409,
2252.317,18.061567,
2251.353,17.722594,
2250.389,20.49403,
2249.424,23.397801,
2248.460,23.558934,
2247.496,23.451162,
2246.532,25.566243,
2245.567,27.781881,
2244.603,27.823978,
2243.639,26.804062,
2242.675,26.434906,
2241.711,26.210438,
2240.746,24.490174,
2239.782,21.56258,
2238.818,20.289492,
2237.854,22.013585,
2236.889,24.070685,
2235.925,24.913718,
2234.961,25.571084,
2233.997,26.141078,
2233.032,26.264925,
2232.068,26.237014,
2231.104,26.259998,
2230.140,26.118965,
